rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,pose,position,x,y,z,orientation,x,y,z,w,covariance
1537750000000,,0,,1382,250000000,"""map""",,,,0.028929263476763147,0.02992561387932492,0.0,,0.0,0.0,0.0012084252558080954,0.9999992698539341,"[0.20526461018397255, -0.020422716985531168, 0.0, 0.0, 0.0, 0.0, -0.020422716985531175, 0.18323433970834682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05574119485430754]"
1584520000000,,1,,1584,480000000,"""map""",,,,0.1739726127695633,0.03372913463605058,0.0,,0.0,0.0,0.09717255746257286,0.995267548991819,"[0.17591340193955496, -0.03571119545957908, 0.0, 0.0, 0.0, 0.0, -0.035711195459579084, 0.12250757298733375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04236118171780679]"
1584890000000,,2,,1584,860000000,"""map""",,,,0.25152536682731275,0.060358057588685184,0.0,,0.0,0.0,0.19540815886744406,0.9807220051819148,"[0.14969738716105416, -0.0452990217782014, 0.0, 0.0, 0.0, 0.0, -0.04529902177820139, 0.10037778854784274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03062291811035861]"
1585370000000,,3,,1585,340000000,"""map""",,,,0.3180456545892414,0.10230681552246279,0.0,,0.0,0.0,0.2924215757598678,0.9562895074349168,"[0.11405987842683331, -0.05461705479346048, 0.0, 0.0, 0.0, 0.0, -0.054617054793460476, 0.0889964120088687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01976707164537665]"
1585810000000,,4,,1585,760000000,"""map""",,,,0.3710610465589514,0.13293454391523393,0.0,,0.0,0.0,0.396229549288251,0.918151482202599,"[0.09990942606694328, -0.056456145119186736, 0.0, 0.0, 0.0, 0.0, -0.056456145119186736, 0.08155411555053792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015334503228836097]"
1586120000000,,5,,1586,90000000,"""map""",,,,0.45220795672800274,0.19416156513195532,0.0,,0.0,0.0,0.49569206780311736,0.8684983442224111,"[0.08479641677152241, -0.049629671623360135, 0.0, 0.0, 0.0, 0.0, -0.04962967162336013, 0.0747389112707888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01268087994421531]"
1586450000000,,6,,1586,420000000,"""map""",,,,0.5352272070785007,0.2735274294477202,0.0,,0.0,0.0,0.5899579281690359,0.807433986769506,"[0.07895366142488702, -0.04100657647975181, 0.0, 0.0, 0.0, 0.0, -0.04100657647975181, 0.05937593679232071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012087086464892647]"
1586850000000,,7,,1586,810000000,"""map""",,,,0.5579887229889651,0.4052293494092681,0.0,,0.0,0.0,0.6761741942516194,0.7367417858572793,"[0.0735811086951278, -0.032855324411603076, 0.0, 0.0, 0.0, 0.0, -0.03285532441160305, 0.05002446195223126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010737533952207898]"
1587370000000,,8,,1587,330000000,"""map""",,,,0.5702898364190542,0.6362129281318305,0.0,,0.0,0.0,0.7298027462932022,0.6836577736725444,"[0.06609067268493474, -0.025723786503063062, 0.0, 0.0, 0.0, 0.0, -0.025723786503063062, 0.04954160874295144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012255347019643094]"
1587870000000,,9,,1587,840000000,"""map""",,,,0.5331116417629175,0.8452862628040686,0.0,,0.0,0.0,0.7478498989135214,0.6638678548438958,"[0.06410262166343245, -0.019273820193050073, 0.0, 0.0, 0.0, 0.0, -0.019273820193050073, 0.04514563094745161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010705642095401018]"
1588400000000,,10,,1588,360000000,"""map""",,,,0.4527075753591154,1.0631256954556765,0.0,,0.0,0.0,0.7449290267377882,0.6671437214899737,"[0.06300380327544505, -0.012234123926198437, 0.0, 0.0, 0.0, 0.0, -0.012234123926198437, 0.03663201838719665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008409641720182673]"
1588880000000,,11,,1588,870000000,"""map""",,,,0.3331962816043787,1.2926046757583989,0.0,,0.0,0.0,0.7391310911200746,0.6735616008500247,"[0.0505130280571659, -0.0055726049188196125, 0.0, 0.0, 0.0, 0.0, -0.005572604918819668, 0.0279085161680368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006130964881669362]"
1589430000000,,12,,1589,400000000,"""map""",,,,0.25210097688587774,1.530199762356277,0.0,,0.0,0.0,0.7053740179504451,0.708835308658115,"[0.03452939381841533, -0.0032836562385166745, 0.0, 0.0, 0.0, 0.0, -0.0032836562385166745, 0.018908390654404528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003206174419315611]"
